epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,1962.48,1.1166,0.67081,0.93122,0.87595,0.92189,0.93839,0.67496,0.98384,0.53242,0.91463,0.0075052,0.0075052,0.0075052
128,1977.94,1.11216,0.66852,0.92872,0.86005,0.94312,0.94184,0.68079,0.97913,0.53386,0.91338,0.0074854,0.0074854,0.0074854
129,1993.39,1.10543,0.66096,0.93213,0.87589,0.91924,0.94122,0.67774,0.97704,0.53339,0.91221,0.0074656,0.0074656,0.0074656
130,2008.8,1.10075,0.66227,0.92337,0.8565,0.94503,0.94109,0.68358,0.97696,0.53253,0.91256,0.0074458,0.0074458,0.0074458
131,2024.23,1.11711,0.66935,0.93241,0.86714,0.93699,0.94022,0.68535,0.97336,0.53068,0.91183,0.007426,0.007426,0.007426
132,2039.67,1.09798,0.65282,0.92949,0.87728,0.92232,0.93945,0.68586,0.9725,0.53082,0.91141,0.0074062,0.0074062,0.0074062
133,2055.09,1.10834,0.67063,0.93924,0.8841,0.91541,0.9407,0.68479,0.97498,0.53036,0.91262,0.0073864,0.0073864,0.0073864
134,2070.49,1.12012,0.66642,0.93236,0.89331,0.91435,0.94067,0.68206,0.97748,0.52841,0.91319,0.0073666,0.0073666,0.0073666
135,2085.89,1.10634,0.66896,0.9319,0.89293,0.91411,0.94058,0.68207,0.97968,0.52842,0.91432,0.0073468,0.0073468,0.0073468
136,2101.27,1.11298,0.66144,0.92624,0.88879,0.91652,0.94124,0.68537,0.97532,0.53021,0.9137,0.007327,0.007327,0.007327
137,2116.66,1.10411,0.65714,0.93155,0.88634,0.91791,0.93968,0.68284,0.97367,0.53066,0.91366,0.0073072,0.0073072,0.0073072
138,2132.08,1.10402,0.66016,0.93536,0.88885,0.92099,0.93865,0.68279,0.97259,0.52978,0.91279,0.0072874,0.0072874,0.0072874
139,2147.92,1.09868,0.67049,0.92622,0.88592,0.92208,0.93792,0.68421,0.97077,0.52955,0.91258,0.0072676,0.0072676,0.0072676
140,2163.34,1.11113,0.66014,0.928,0.8856,0.92325,0.93777,0.68096,0.97106,0.52816,0.91326,0.0072478,0.0072478,0.0072478
141,2178.61,1.1015,0.66253,0.92661,0.88378,0.92797,0.93705,0.68161,0.97248,0.52835,0.91351,0.007228,0.007228,0.007228
142,2193.99,1.08985,0.6678,0.92407,0.87868,0.92387,0.93758,0.68122,0.97474,0.52834,0.91334,0.0072082,0.0072082,0.0072082
143,2209.24,1.10292,0.65847,0.92092,0.86919,0.93436,0.93826,0.68316,0.97433,0.52643,0.91201,0.0071884,0.0071884,0.0071884
144,2224.62,1.09542,0.65223,0.92811,0.87242,0.93337,0.94034,0.68269,0.97468,0.5262,0.91173,0.0071686,0.0071686,0.0071686
145,2240.03,1.08974,0.65072,0.92217,0.87136,0.93362,0.94093,0.68321,0.97268,0.52527,0.91144,0.0071488,0.0071488,0.0071488
146,2255.4,1.10923,0.66362,0.92181,0.86772,0.93914,0.94109,0.68422,0.97069,0.52387,0.91069,0.007129,0.007129,0.007129
147,2270.8,1.08344,0.65101,0.92524,0.86712,0.94101,0.94172,0.68408,0.97051,0.52199,0.91031,0.0071092,0.0071092,0.0071092
148,2286.23,1.10027,0.64872,0.92087,0.87892,0.92632,0.94103,0.68648,0.97013,0.52073,0.9104,0.0070894,0.0070894,0.0070894
149,2301.69,1.07918,0.65091,0.92422,0.87755,0.92901,0.94179,0.68665,0.96774,0.52218,0.91004,0.0070696,0.0070696,0.0070696
150,2317.11,1.07598,0.63958,0.9234,0.88412,0.92787,0.94048,0.68815,0.96665,0.52011,0.9094,0.0070498,0.0070498,0.0070498
151,2332.54,1.0917,0.64552,0.92373,0.88293,0.92651,0.93896,0.68609,0.96576,0.5201,0.909,0.00703,0.00703,0.00703
152,2347.95,1.10253,0.66234,0.9267,0.88314,0.92291,0.93932,0.68512,0.96435,0.52011,0.90798,0.0070102,0.0070102,0.0070102
153,2363.41,1.09854,0.65523,0.92574,0.87246,0.93537,0.93923,0.68621,0.96189,0.51911,0.90748,0.0069904,0.0069904,0.0069904
154,2378.85,1.08621,0.64266,0.92544,0.88377,0.92418,0.93994,0.68949,0.96089,0.51971,0.90733,0.0069706,0.0069706,0.0069706
155,2394.27,1.09838,0.65878,0.92508,0.87228,0.93491,0.94012,0.68655,0.95814,0.51968,0.90655,0.0069508,0.0069508,0.0069508
156,2410.09,1.0921,0.64782,0.93202,0.87161,0.93658,0.94047,0.6854,0.95655,0.51887,0.90661,0.006931,0.006931,0.006931
157,2425.47,1.0856,0.65752,0.92446,0.88807,0.91877,0.94098,0.68553,0.95497,0.51932,0.90576,0.0069112,0.0069112,0.0069112
158,2440.85,1.08555,0.65184,0.92485,0.88679,0.91945,0.93979,0.68515,0.9551,0.52117,0.90565,0.0068914,0.0068914,0.0068914
159,2456.2,1.07399,0.63733,0.91998,0.89008,0.91803,0.94037,0.68549,0.9548,0.5219,0.9053,0.0068716,0.0068716,0.0068716
160,2471.53,1.08904,0.65149,0.91547,0.89077,0.91551,0.94024,0.68616,0.95524,0.5207,0.90596,0.0068518,0.0068518,0.0068518
161,2487,1.07437,0.6453,0.91726,0.89166,0.91716,0.94023,0.68886,0.95435,0.52014,0.90613,0.006832,0.006832,0.006832
162,2502.36,1.07557,0.6466,0.92588,0.89095,0.91822,0.94062,0.68821,0.95238,0.51989,0.90546,0.0068122,0.0068122,0.0068122
163,2517.72,1.06776,0.63563,0.92016,0.89173,0.91924,0.94065,0.68883,0.95082,0.51795,0.90508,0.0067924,0.0067924,0.0067924
164,2533.06,1.05552,0.63321,0.91535,0.87963,0.92574,0.94089,0.68776,0.95028,0.51791,0.90487,0.0067726,0.0067726,0.0067726
165,2548.33,1.09862,0.65082,0.92568,0.88967,0.91959,0.94076,0.68734,0.94956,0.51705,0.90507,0.0067528,0.0067528,0.0067528
166,2563.73,1.08036,0.64335,0.91983,0.8888,0.92081,0.94125,0.69133,0.94904,0.51603,0.90484,0.006733,0.006733,0.006733
167,2579.09,1.06265,0.63679,0.91521,0.88889,0.92106,0.94183,0.69247,0.94637,0.51582,0.90435,0.0067132,0.0067132,0.0067132
168,2594.45,1.07161,0.64035,0.92325,0.89424,0.91903,0.94188,0.69285,0.94693,0.51605,0.90465,0.0066934,0.0066934,0.0066934
169,2609.82,1.06967,0.63891,0.9245,0.89271,0.91953,0.9421,0.69202,0.94738,0.51589,0.90528,0.0066736,0.0066736,0.0066736
170,2625.25,1.08297,0.6422,0.92244,0.89124,0.91947,0.94097,0.69431,0.94599,0.51565,0.905,0.0066538,0.0066538,0.0066538
171,2641.08,1.06497,0.63283,0.91912,0.89242,0.92023,0.94203,0.69524,0.94552,0.51515,0.90477,0.006634,0.006634,0.006634
172,2656.6,1.07542,0.63879,0.91969,0.89114,0.92106,0.94262,0.69571,0.94464,0.51402,0.90491,0.0066142,0.0066142,0.0066142
173,2672.04,1.07936,0.63804,0.91707,0.8911,0.92103,0.9427,0.69515,0.94536,0.51423,0.9049,0.0065944,0.0065944,0.0065944
174,2687.46,1.07285,0.63568,0.91583,0.89175,0.92123,0.94275,0.6954,0.94617,0.51372,0.90515,0.0065746,0.0065746,0.0065746
175,2702.84,1.06982,0.63112,0.92092,0.89231,0.92094,0.94245,0.69432,0.94644,0.51473,0.90535,0.0065548,0.0065548,0.0065548
176,2718.17,1.06836,0.6347,0.92048,0.89314,0.92107,0.9422,0.69318,0.94764,0.51488,0.90557,0.006535,0.006535,0.006535
177,2733.58,1.0669,0.63816,0.9247,0.89269,0.92084,0.94225,0.6923,0.94808,0.51298,0.90611,0.0065152,0.0065152,0.0065152
178,2749.01,1.07521,0.64453,0.91508,0.89156,0.92085,0.94239,0.69129,0.94726,0.51239,0.90566,0.0064954,0.0064954,0.0064954
179,2764.43,1.06922,0.63636,0.91595,0.89144,0.92085,0.94245,0.69332,0.94642,0.51244,0.90566,0.0064756,0.0064756,0.0064756
180,2779.83,1.05473,0.62564,0.9142,0.89173,0.92075,0.94269,0.69411,0.94756,0.51141,0.90608,0.0064558,0.0064558,0.0064558
181,2795.2,1.05277,0.61834,0.91438,0.89281,0.92125,0.94316,0.69295,0.94671,0.51098,0.90579,0.006436,0.006436,0.006436
182,2810.61,1.06804,0.63249,0.92542,0.89308,0.92085,0.94292,0.69311,0.94556,0.51112,0.90582,0.0064162,0.0064162,0.0064162
183,2826.07,1.0699,0.64489,0.91659,0.89636,0.9183,0.94288,0.69407,0.94563,0.51065,0.90571,0.0063964,0.0063964,0.0063964
184,2841.54,1.065,0.63869,0.91125,0.89566,0.91777,0.94274,0.69503,0.94413,0.51055,0.90553,0.0063766,0.0063766,0.0063766
